address	type	name	parent_namespace	source
EXTERNAL:00000001	Function	MSCOREE.DLL::_CorExeMain	MSCOREE.DLL	IMPORTED
00400000	Label	IMAGE_DOS_HEADER_00400000	Global	DEFAULT
00402000	Label	PTR__CorExeMain_00402000	Global	DEFAULT
00402008	Label	IMAGE_COR20_HEADER_00402008	Global	DEFAULT
0040205c	Function	PromptForPassword	Global	ANALYSIS
004020f6	Function	.ctor	Global	ANALYSIS
004020fe	Function	.ctor	Global	ANALYSIS
00402127	Function	.ctor	Global	ANALYSIS
0040213b	Function	ShowDialog	Global	ANALYSIS
0040213d	Function	get_BackgroundColor	Global	ANALYSIS
00402144	Function	set_BackgroundColor	Global	ANALYSIS
0040214c	Function	get_BufferSize	Global	ANALYSIS
00402155	Function	set_BufferSize	Global	ANALYSIS
0040216f	Function	get_CursorPosition	Global	ANALYSIS
00402180	Function	set_CursorPosition	Global	ANALYSIS
0040219a	Function	get_CursorSize	Global	ANALYSIS
004021a1	Function	set_CursorSize	Global	ANALYSIS
004021a9	Function	FlushInputBuffer	Global	ANALYSIS
004021b5	Function	get_ForegroundColor	Global	ANALYSIS
004021bc	Function	set_ForegroundColor	Global	ANALYSIS
004021c4	Function	GetBufferContents	Global	ANALYSIS
004021d0	Function	get_KeyAvailable	Global	ANALYSIS
004021dc	Function	get_MaxPhysicalWindowSize	Global	ANALYSIS
004021ed	Function	get_MaxWindowSize	Global	ANALYSIS
0040220c	Function	ReadKey	Global	ANALYSIS
00402220	Function	ScrollBufferContents	Global	ANALYSIS
0040222c	Function	SetBufferContents	Global	ANALYSIS
00402238	Function	SetBufferContents	Global	ANALYSIS
00402250	Function	get_WindowPosition	Global	ANALYSIS
00402273	Function	set_WindowPosition	Global	ANALYSIS
00402298	Function	get_WindowSize	Global	ANALYSIS
004022bb	Function	set_WindowSize	Global	ANALYSIS
004022d5	Function	get_WindowTitle	Global	ANALYSIS
004022dc	Function	set_WindowTitle	Global	ANALYSIS
004022e4	Function	.ctor	Global	ANALYSIS
004022ec	Function	.ctor	Global	ANALYSIS
004022ff	Function	Prompt	Global	ANALYSIS
00402306	Function	PromptForChoice	Global	ANALYSIS
00402314	Function	PromptForCredential	Global	ANALYSIS
00402374	Function	PromptForCredential	Global	ANALYSIS
004023c4	Function	get_RawUI	Global	ANALYSIS
004023cc	Function	ReadLine	Global	ANALYSIS
004023e0	Function	ReadLineAsSecureString	Global	ANALYSIS
00402414	Function	Write	Global	ANALYSIS
00402428	Function	Write	Global	ANALYSIS
0040243d	Function	WriteDebugLine	Global	ANALYSIS
00402451	Function	WriteErrorLine	Global	ANALYSIS
00402466	Function	WriteLine	Global	ANALYSIS
0040247b	Function	WriteProgress	Global	ANALYSIS
0040247d	Function	WriteVerboseLine	Global	ANALYSIS
00402491	Function	WriteWarningLine	Global	ANALYSIS
004024b4	Function	.ctor	Global	ANALYSIS
004024f5	Function	get_CurrentCulture	Global	ANALYSIS
004024fd	Function	get_CurrentUICulture	Global	ANALYSIS
00402505	Function	get_InstanceId	Global	ANALYSIS
0040250d	Function	get_Name	Global	ANALYSIS
00402514	Function	get_UI	Global	ANALYSIS
0040251c	Function	get_Version	Global	ANALYSIS
00402527	Function	EnterNestedPrompt	Global	ANALYSIS
00402529	Function	ExitNestedPrompt	Global	ANALYSIS
0040252b	Function	NotifyBeginApplication	Global	ANALYSIS
0040252d	Function	NotifyEndApplication	Global	ANALYSIS
0040252f	Function	SetShouldExit	Global	ANALYSIS
00402549	Function	get_ShouldExit	Global	ANALYSIS
00402551	Function	set_ShouldExit	Global	ANALYSIS
0040255a	Function	get_ExitCode	Global	ANALYSIS
00402562	Function	set_ExitCode	Global	ANALYSIS
0040256b	Function	.ctor	Global	ANALYSIS
00402573	Function	.ctor	Global	ANALYSIS
0040257b	Function	.ctor	Global	ANALYSIS
00402583	Function	.ctor	Global	ANALYSIS
0040258b	Function	<Main>b__1	Global	ANALYSIS
004025b8	Function	<Main>b__0	Global	ANALYSIS
00402611	Function	<Main>b__2	Global	ANALYSIS
00402634	Function	<Main>b__3	Global	ANALYSIS
00402657	Function	<Main>b__4	Global	ANALYSIS
0040267a	Function	<Main>b__5	Global	ANALYSIS
0040269d	Function	<Main>b__6	Global	ANALYSIS
004026c5	Function	<Main>b__7	Global	ANALYSIS
004026ed	Function	<Main>b__8	Global	ANALYSIS
00402704	Label	MethodDefHdr_Fat_00402704	Global	DEFAULT
00402710	Function	Main	Global	ANALYSIS
00402b3d	Function	CurrentDomain_UnhandledException	Global	ANALYSIS
00402b49	Function	.ctor	Global	ANALYSIS
00402b50	Label	CLI_METADATA_HEADER	Global	ANALYSIS
00402bbc	Label	CLI_Stream_#~	Global	ANALYSIS
00403d24	Label	CLI_Stream_#Strings	Global	ANALYSIS
00405100	Label	CLI_Stream_#US	Global	ANALYSIS
00406e00	Label	CLI_Stream_#US.[452]+0x18ac	Global	DEFAULT
00407b58	Label	CLI_Stream_#GUID	Global	ANALYSIS
00407b68	Label	CLI_Stream_#Blob	Global	ANALYSIS
004080b4	Label	DWORD_004080b4	Global	DEFAULT
0040810e	Function	entry	Global	IMPORTED
0040a000	Label	IMAGE_RESOURCE_DIRECTORY_0040a000	Global	DEFAULT
0040a0a0	Label	Rsrc_Version_1_0	Global	IMPORTED
0040a418	Label	Rsrc_Manifest_1_0	Global	IMPORTED
0040c000	Label	IMAGE_BASE_RELOCATION_0040c000	Global	DEFAULT
